num,date_time,temp_C,light_lux
1,06/19/2024 10:36:14,21.58,9.88
2,06/19/2024 10:56:14,22.61,0.39
3,06/19/2024 11:16:14,22.31,28.36
4,06/19/2024 11:36:14,14.54,1686.40
5,06/19/2024 11:56:14,12.70,1702.40
6,06/19/2024 12:16:14,12.65,1702.40
7,06/19/2024 12:36:14,12.65,1699.20
8,06/19/2024 12:56:14,12.65,1667.84
9,06/19/2024 13:16:14,12.70,1113.28
10,06/19/2024 13:36:14,12.57,1651.84
11,06/19/2024 13:56:14,12.65,1655.04
12,06/19/2024 14:16:14,12.61,1656.32
13,06/19/2024 14:36:14,12.57,1653.12
14,06/19/2024 14:56:14,12.65,1658.24
15,06/19/2024 15:16:14,12.61,1655.04
16,06/19/2024 15:36:14,12.61,1655.04
17,06/19/2024 15:56:14,12.57,1655.04
18,06/19/2024 16:16:14,12.61,1659.52
19,06/19/2024 16:36:14,12.61,1658.24
20,06/19/2024 16:56:14,12.65,1658.24
21,06/19/2024 17:16:14,12.65,1661.44
22,06/19/2024 17:36:14,12.65,1658.24
23,06/19/2024 17:56:14,12.70,1656.32
24,06/19/2024 18:16:14,12.65,1651.84
25,06/19/2024 18:36:14,12.61,1648.64
26,06/19/2024 18:56:14,12.61,1648.64
27,06/19/2024 19:16:14,12.65,1651.84
28,06/19/2024 19:36:14,12.61,1650.56
29,06/19/2024 19:56:14,12.65,1647.36
30,06/19/2024 20:16:14,12.65,1647.36
31,06/19/2024 20:36:14,12.61,1648.64
32,06/19/2024 20:56:14,12.61,1642.24
33,06/19/2024 21:16:14,12.61,1645.44
34,06/19/2024 21:36:14,12.65,1645.44
35,06/19/2024 21:56:14,12.57,1645.44
36,06/19/2024 22:16:14,12.61,1645.44
37,06/19/2024 22:36:14,12.61,1648.64
38,06/19/2024 22:56:14,12.70,1645.44
39,06/19/2024 23:16:14,12.44,0.00
40,06/19/2024 23:36:14,12.57,0.00
41,06/19/2024 23:56:14,12.57,0.00
42,06/20/2024 00:16:14,12.61,0.00
43,06/20/2024 00:36:14,12.57,0.00
44,06/20/2024 00:56:14,12.57,0.00
45,06/20/2024 01:16:14,12.57,0.00
46,06/20/2024 01:36:14,12.57,0.00
47,06/20/2024 01:56:14,12.57,0.00
48,06/20/2024 02:16:14,12.57,0.00
49,06/20/2024 02:36:14,12.57,0.00
50,06/20/2024 02:56:14,12.57,0.00
51,06/20/2024 03:16:14,12.61,0.00
52,06/20/2024 03:36:14,12.57,0.00
53,06/20/2024 03:56:14,12.61,0.00
54,06/20/2024 04:16:14,12.61,0.00
55,06/20/2024 04:36:14,12.57,0.00
56,06/20/2024 04:56:14,12.57,0.00
57,06/20/2024 05:16:14,12.61,0.00
58,06/20/2024 05:36:14,12.61,0.00
59,06/20/2024 05:56:14,12.61,0.00
60,06/20/2024 06:16:14,12.65,0.00
61,06/20/2024 06:36:14,12.61,0.00
62,06/20/2024 06:56:14,12.57,0.00
63,06/20/2024 07:16:14,12.87,1815.04
64,06/20/2024 07:36:14,12.87,1780.48
65,06/20/2024 07:56:14,12.74,1724.16
66,06/20/2024 08:16:14,12.70,1717.76
67,06/20/2024 08:36:14,12.70,1713.28
68,06/20/2024 08:56:14,12.70,1710.08
69,06/20/2024 09:16:14,12.74,1711.36
70,06/20/2024 09:36:14,12.74,1710.08
71,06/20/2024 09:56:14,12.70,1696.00
72,06/20/2024 10:16:14,12.70,1673.60
73,06/20/2024 10:36:14,12.70,1670.40
74,06/20/2024 10:56:14,12.65,1669.12
75,06/20/2024 11:16:14,12.65,1667.84
76,06/20/2024 11:36:14,12.70,1664.64
77,06/20/2024 11:56:14,12.61,1661.44
78,06/20/2024 12:16:14,12.70,1661.44
79,06/20/2024 12:36:14,12.70,1659.52
80,06/20/2024 12:56:14,12.70,1655.04
81,06/20/2024 13:16:14,12.65,1653.12
82,06/20/2024 13:36:14,12.65,1658.24
83,06/20/2024 13:56:14,21.75,3439.36
84,06/20/2024 14:16:14,23.25,3306.24
85,06/20/2024 14:36:14,23.55,3310.08
86,06/20/2024 14:56:14,23.72,3310.08
87,06/20/2024 15:16:14,23.89,3316.48
88,06/20/2024 15:36:14,23.98,3335.68
89,06/20/2024 15:56:14,24.11,3335.68
90,06/20/2024 16:16:14,24.19,3335.68
91,06/20/2024 16:36:14,24.24,3331.84
92,06/20/2024 16:56:14,24.28,3325.44
93,06/20/2024 17:16:14,24.32,3325.44
94,06/20/2024 17:36:14,24.36,3325.44
95,06/20/2024 17:56:14,24.36,3325.44
96,06/20/2024 18:16:14,24.45,3319.04
97,06/20/2024 18:36:14,24.41,3322.88
98,06/20/2024 18:56:14,24.45,3322.88
99,06/20/2024 19:16:14,24.49,3322.88
100,06/20/2024 19:36:14,24.49,3319.04
101,06/20/2024 19:56:14,24.49,3316.48
102,06/20/2024 20:16:14,24.54,3316.48
103,06/20/2024 20:36:14,24.58,3319.04
104,06/20/2024 20:56:14,24.54,3319.04
105,06/20/2024 21:16:14,24.54,3316.48
106,06/20/2024 21:36:14,24.54,3316.48
107,06/20/2024 21:56:14,24.49,3312.64
108,06/20/2024 22:16:14,24.54,3319.04
109,06/20/2024 22:36:14,24.54,3310.08
110,06/20/2024 22:56:14,24.54,3319.04
111,06/20/2024 23:16:14,24.54,3319.04
112,06/20/2024 23:36:14,23.38,0.00
113,06/20/2024 23:56:14,22.91,0.00
114,06/21/2024 00:16:14,22.82,0.00
115,06/21/2024 00:36:14,22.73,0.00
116,06/21/2024 00:56:14,22.73,0.00
117,06/21/2024 01:16:14,22.69,0.00
118,06/21/2024 01:36:14,22.65,0.00
119,06/21/2024 01:56:14,22.69,0.00
120,06/21/2024 02:16:14,22.61,0.00
121,06/21/2024 02:36:14,22.61,0.00
122,06/21/2024 02:56:14,22.61,0.00
123,06/21/2024 03:16:14,22.61,0.00
124,06/21/2024 03:36:14,22.56,0.00
125,06/21/2024 03:56:14,22.61,0.00
126,06/21/2024 04:16:14,22.56,0.00
127,06/21/2024 04:36:14,22.61,0.00
128,06/21/2024 04:56:14,22.56,0.00
129,06/21/2024 05:16:14,22.56,0.00
130,06/21/2024 05:36:14,22.56,0.00
131,06/21/2024 05:56:14,22.56,0.00
132,06/21/2024 06:16:14,22.56,0.00
133,06/21/2024 06:36:14,22.52,0.00
134,06/21/2024 06:56:14,22.56,0.00
135,06/21/2024 07:16:14,22.56,0.00
136,06/21/2024 07:36:14,23.72,3558.40
137,06/21/2024 07:56:14,24.19,3472.64
138,06/21/2024 08:16:14,24.36,3381.76
139,06/21/2024 08:36:14,24.36,3363.84
140,06/21/2024 08:56:14,24.41,3351.04
