num,date_time,temp_C,light_lux
1,06/19/2024 10:39:46,22.82,7.60
2,06/19/2024 10:59:46,22.61,23.06
3,06/19/2024 11:19:46,22.26,62.72
4,06/19/2024 11:39:46,20.76,4099.84
5,06/19/2024 11:59:46,21.28,4129.28
6,06/19/2024 12:19:46,21.32,4126.72
7,06/19/2024 12:39:46,21.32,4122.88
8,06/19/2024 12:59:46,21.28,4110.08
9,06/19/2024 13:19:46,21.23,4060.16
10,06/19/2024 13:39:46,21.19,4080.64
11,06/19/2024 13:59:46,21.28,4080.64
12,06/19/2024 14:19:46,21.28,4080.64
13,06/19/2024 14:39:46,21.28,4083.20
14,06/19/2024 14:59:46,21.32,4080.64
15,06/19/2024 15:19:46,21.28,4070.40
16,06/19/2024 15:39:46,21.19,4064.00
17,06/19/2024 15:59:46,21.23,4064.00
18,06/19/2024 16:19:46,21.23,4070.40
19,06/19/2024 16:39:46,21.28,4070.40
20,06/19/2024 16:59:46,21.28,4072.96
21,06/19/2024 17:19:46,21.92,4179.20
22,06/19/2024 17:39:46,22.86,4194.56
23,06/19/2024 17:59:46,22.73,4185.60
24,06/19/2024 18:19:46,22.73,4181.76
25,06/19/2024 18:39:46,22.73,4185.60
26,06/19/2024 18:59:46,22.78,4188.16
27,06/19/2024 19:19:46,22.78,4192.00
28,06/19/2024 19:39:46,22.86,4192.00
29,06/19/2024 19:59:46,22.82,4188.16
30,06/19/2024 20:19:46,22.78,4181.76
31,06/19/2024 20:39:46,22.73,4179.20
32,06/19/2024 20:59:46,22.78,4179.20
33,06/19/2024 21:19:46,22.82,4185.60
34,06/19/2024 21:39:46,22.82,4188.16
35,06/19/2024 21:59:46,22.82,4188.16
36,06/19/2024 22:19:46,22.65,0.00
37,06/19/2024 22:39:46,23.12,0.00
38,06/19/2024 22:59:46,23.16,0.00
39,06/19/2024 23:19:46,23.12,0.00
40,06/19/2024 23:39:46,23.21,0.00
41,06/19/2024 23:59:46,23.25,0.00
42,06/20/2024 00:19:46,23.25,0.00
43,06/20/2024 00:39:46,23.25,0.00
44,06/20/2024 00:59:46,23.21,0.00
45,06/20/2024 01:19:46,23.21,0.00
46,06/20/2024 01:39:46,23.21,0.00
47,06/20/2024 01:59:46,23.21,0.00
48,06/20/2024 02:19:46,23.21,0.00
