num,date_time,temp_C,light_lux
1,07/24/2024 14:11:35,19.82,307.36
2,07/24/2024 14:31:35,21.06,164.80
3,07/24/2024 14:51:35,20.20,152.68
4,07/24/2024 15:11:35,19.95,155.08
5,07/24/2024 15:31:35,19.82,153.48
6,07/24/2024 15:51:35,21.19,7.05
7,07/24/2024 16:11:35,15.91,1310.08
8,07/24/2024 16:31:35,13.98,1316.48
9,07/24/2024 16:51:35,13.85,1307.84
10,07/24/2024 17:11:35,13.73,1309.44
11,07/24/2024 17:31:35,13.60,1312.64
12,07/24/2024 17:51:35,13.55,1307.84
13,07/24/2024 18:11:35,13.47,1309.44
14,07/24/2024 18:31:35,13.47,1312.00
15,07/24/2024 18:51:35,13.38,1313.92
16,07/24/2024 19:11:35,13.38,1310.72
17,07/24/2024 19:31:35,13.38,1310.72
18,07/24/2024 19:51:35,13.30,1310.08
19,07/24/2024 20:11:35,13.34,1310.08
20,07/24/2024 20:31:35,26.47,1300.80
21,07/24/2024 20:51:35,32.43,0.00
22,07/24/2024 21:11:35,31.83,1263.04
23,07/24/2024 21:31:35,34.62,1245.44
24,07/24/2024 21:51:35,34.27,1251.20
25,07/24/2024 22:11:35,34.36,1248.00
26,07/24/2024 22:31:35,34.49,1222.40
27,07/24/2024 22:51:35,34.57,1224.64
28,07/24/2024 23:11:35,34.70,1222.40
29,07/24/2024 23:31:35,34.62,1221.44
30,07/24/2024 23:51:35,34.75,1230.40
31,07/25/2024 00:11:35,34.70,1222.40
32,07/25/2024 00:31:35,34.75,1225.60
33,07/25/2024 00:51:35,34.75,1224.64
34,07/25/2024 01:11:35,34.70,1222.40
35,07/25/2024 01:31:35,34.79,1229.44
36,07/25/2024 01:51:35,34.75,1223.04
37,07/25/2024 02:11:35,34.75,1223.04
38,07/25/2024 02:31:35,34.79,1227.84
39,07/25/2024 02:51:35,34.70,1224.64
40,07/25/2024 03:11:35,34.79,1222.40
41,07/25/2024 03:31:35,34.75,1225.60
42,07/25/2024 03:51:35,34.83,1226.24
43,07/25/2024 04:11:35,34.70,1225.60
44,07/25/2024 04:31:35,34.75,1229.44
45,07/25/2024 04:51:35,34.79,1225.60
46,07/25/2024 05:11:35,34.75,1226.24
