num,date_time,temp_C,light_lux
1,07/24/2024 14:02:43,20.07,282.48
2,07/24/2024 14:22:43,22.18,190.96
3,07/24/2024 14:42:43,20.50,157.04
4,07/24/2024 15:02:43,20.16,160.28
5,07/24/2024 15:22:43,19.99,161.76
6,07/24/2024 15:42:43,21.10,1131.52
7,07/24/2024 16:02:43,22.52,1128.32
8,07/24/2024 16:22:43,22.65,1133.76
9,07/24/2024 16:42:43,22.78,1133.76
10,07/24/2024 17:02:43,22.69,1135.36
11,07/24/2024 17:22:43,22.65,1131.52
12,07/24/2024 17:42:43,22.69,1128.32
13,07/24/2024 18:02:43,22.73,1132.16
14,07/24/2024 18:22:43,22.73,1134.72
15,07/24/2024 18:42:43,22.69,1132.16
16,07/24/2024 19:02:43,22.65,1128.32
17,07/24/2024 19:22:43,22.78,1131.52
18,07/24/2024 19:42:43,22.78,1135.36
19,07/24/2024 20:02:43,22.69,1134.72
20,07/24/2024 20:22:43,27.58,1285.44
21,07/24/2024 20:42:43,30.03,1299.84
22,07/24/2024 21:02:43,29.77,1296.64
23,07/24/2024 21:22:43,29.68,1297.28
24,07/24/2024 21:42:43,29.68,1295.04
25,07/24/2024 22:02:43,29.73,1298.24
26,07/24/2024 22:22:43,29.08,0.00
27,07/24/2024 22:42:43,29.21,0.00
28,07/24/2024 23:02:43,29.30,0.00
29,07/24/2024 23:22:43,29.34,0.00
30,07/24/2024 23:42:43,29.26,0.00
31,07/25/2024 00:02:43,29.30,0.00
32,07/25/2024 00:22:43,29.30,0.00
33,07/25/2024 00:42:43,29.26,0.00
34,07/25/2024 01:02:43,29.26,0.00
35,07/25/2024 01:22:43,29.21,0.00
36,07/25/2024 01:42:43,29.21,0.00
37,07/25/2024 02:02:43,29.30,0.00
38,07/25/2024 02:22:43,29.26,0.00
39,07/25/2024 02:42:43,29.21,0.00
40,07/25/2024 03:02:43,29.21,0.00
41,07/25/2024 03:22:43,29.26,0.00
42,07/25/2024 03:42:43,29.26,0.00
43,07/25/2024 04:02:43,29.26,0.00
44,07/25/2024 04:22:43,29.21,0.00
45,07/25/2024 04:42:43,29.26,0.00
46,07/25/2024 05:02:43,29.30,0.00
47,07/25/2024 05:22:43,29.26,0.00
48,07/25/2024 05:42:43,29.26,0.00
49,07/25/2024 06:02:43,29.21,0.00
50,07/25/2024 06:22:43,29.90,1276.48
51,07/25/2024 06:42:43,29.73,1286.08
52,07/25/2024 07:02:43,29.64,1288.64
53,07/25/2024 07:22:43,29.64,1282.88
54,07/25/2024 07:42:43,29.64,1295.04
55,07/25/2024 08:02:43,29.64,1295.04
56,07/25/2024 08:22:43,24.54,1143.36
57,07/25/2024 08:42:43,22.52,1122.56
58,07/25/2024 09:02:43,22.56,1123.20
59,07/25/2024 09:22:43,22.65,1124.80
60,07/25/2024 09:42:43,22.73,1128.96
61,07/25/2024 10:02:43,22.73,1134.72
62,07/25/2024 10:22:43,22.65,1132.16
63,07/25/2024 10:42:43,22.65,1128.32
64,07/25/2024 11:02:43,22.73,1132.16
65,07/25/2024 11:22:43,22.61,1128.32
66,07/25/2024 11:42:43,22.73,1130.56
67,07/25/2024 12:02:43,22.78,1133.76
68,07/25/2024 12:22:43,22.95,1138.56
69,07/25/2024 12:42:43,22.73,1131.52
70,07/25/2024 13:02:43,22.56,1130.56
71,07/25/2024 13:22:43,22.52,1125.76
72,07/25/2024 13:42:43,22.31,1119.36
73,07/25/2024 14:02:43,22.43,1128.96
74,07/25/2024 14:22:43,22.52,1125.76
75,07/25/2024 14:42:43,22.43,1125.76
76,07/25/2024 15:02:43,22.56,1123.20
77,07/25/2024 15:22:43,22.52,1124.80
78,07/25/2024 15:42:43,22.52,1122.56
79,07/25/2024 16:02:43,22.61,1122.56
80,07/25/2024 16:22:43,22.61,1125.76
81,07/25/2024 16:42:43,22.61,1126.40
82,07/25/2024 17:02:43,22.56,1124.16
83,07/25/2024 17:22:43,22.61,1120.96
84,07/25/2024 17:42:43,22.69,1124.16
85,07/25/2024 18:02:43,22.69,1127.36
86,07/25/2024 18:22:43,22.56,1123.20
87,07/25/2024 18:42:43,22.56,1118.40
88,07/25/2024 19:02:43,22.65,1124.80
89,07/25/2024 19:22:43,22.69,1127.36
90,07/25/2024 19:42:43,22.61,1123.20
91,07/25/2024 20:02:43,22.56,1119.36
92,07/25/2024 20:22:43,27.45,1276.48
93,07/25/2024 20:42:43,30.11,1291.84
94,07/25/2024 21:02:43,29.73,1288.64
95,07/25/2024 21:22:43,29.68,1286.08
96,07/25/2024 21:42:43,29.64,1289.28
97,07/25/2024 22:02:43,29.64,1287.04
98,07/25/2024 22:22:43,29.08,0.00
99,07/25/2024 22:42:43,29.30,0.00
100,07/25/2024 23:02:43,29.30,0.00
101,07/25/2024 23:22:43,29.21,0.00
102,07/25/2024 23:42:43,29.30,0.00
103,07/26/2024 00:02:43,29.34,0.00
104,07/26/2024 00:22:43,29.30,0.00
105,07/26/2024 00:42:43,29.26,0.00
106,07/26/2024 01:02:43,29.30,0.00
107,07/26/2024 01:22:43,29.30,0.00
108,07/26/2024 01:42:43,29.30,0.00
109,07/26/2024 02:02:43,29.26,0.00
110,07/26/2024 02:22:43,29.30,0.00
111,07/26/2024 02:42:43,29.30,0.00
112,07/26/2024 03:02:43,29.30,0.00
113,07/26/2024 03:22:43,29.26,0.00
114,07/26/2024 03:42:43,29.30,0.00
115,07/26/2024 04:02:43,29.26,0.00
116,07/26/2024 04:22:43,29.26,0.00
117,07/26/2024 04:42:43,29.26,0.00
118,07/26/2024 05:02:43,29.30,0.00
119,07/26/2024 05:22:43,29.26,0.00
120,07/26/2024 05:42:43,29.21,0.00
121,07/26/2024 06:02:43,29.26,0.00
122,07/26/2024 06:22:43,29.86,1265.92
123,07/26/2024 06:42:43,29.64,1273.28
124,07/26/2024 07:02:43,29.60,1279.04
125,07/26/2024 07:22:43,29.60,1283.84
126,07/26/2024 07:42:43,29.60,1285.44
127,07/26/2024 08:02:43,29.60,1286.08
128,07/26/2024 08:22:43,24.45,1127.36
129,07/26/2024 08:42:43,22.35,1108.80
130,07/26/2024 09:02:43,22.48,1114.56
131,07/26/2024 09:22:43,22.65,1115.20
132,07/26/2024 09:42:43,22.61,1118.40
133,07/26/2024 10:02:43,22.56,1120.00
134,07/26/2024 10:22:43,22.52,1114.56
135,07/26/2024 10:42:43,22.65,1115.20
136,07/26/2024 11:02:43,22.73,1127.36
137,07/26/2024 11:22:43,22.65,1124.16
138,07/26/2024 11:42:43,22.61,1124.16
139,07/26/2024 12:02:43,22.69,1130.56
140,07/26/2024 12:22:43,22.65,1128.32
141,07/26/2024 12:42:43,22.78,1131.52
142,07/26/2024 13:02:43,22.65,1128.96
143,07/26/2024 13:22:43,22.69,1123.20
144,07/26/2024 13:42:43,22.78,1129.92
145,07/26/2024 14:02:43,22.73,1107.20
146,07/26/2024 14:22:43,22.65,1101.44
147,07/26/2024 14:42:43,22.65,1103.04
148,07/26/2024 15:02:43,22.73,1104.00
149,07/26/2024 15:22:43,22.65,1102.40
150,07/26/2024 15:42:43,22.65,1102.40
151,07/26/2024 16:02:43,22.61,1099.84
152,07/26/2024 16:22:43,22.69,1102.40
153,07/26/2024 16:42:43,22.86,1107.20
154,07/26/2024 17:02:43,22.61,1102.40
155,07/26/2024 17:22:43,22.65,1097.60
156,07/26/2024 17:42:43,22.78,1103.04
157,07/26/2024 18:02:43,22.78,1105.60
158,07/26/2024 18:22:43,22.56,1100.80
159,07/26/2024 18:42:43,22.65,1099.20
160,07/26/2024 19:02:43,22.78,1102.40
161,07/26/2024 19:22:43,22.73,1104.64
162,07/26/2024 19:42:43,22.61,1099.20
163,07/26/2024 20:02:43,22.69,1096.64
164,07/26/2024 20:22:43,27.58,1250.56
165,07/26/2024 20:42:43,30.07,1262.08
166,07/26/2024 21:02:43,29.86,1260.48
167,07/26/2024 21:22:43,29.73,1259.52
168,07/26/2024 21:42:43,29.73,1262.72
169,07/26/2024 22:02:43,29.64,1263.68
170,07/26/2024 22:22:43,29.13,0.00
171,07/26/2024 22:42:43,29.26,0.00
172,07/26/2024 23:02:43,29.30,0.00
173,07/26/2024 23:22:43,29.34,0.00
174,07/26/2024 23:42:43,29.34,0.00
175,07/27/2024 00:02:43,29.30,0.00
176,07/27/2024 00:22:43,29.26,0.00
177,07/27/2024 00:42:43,29.30,0.00
178,07/27/2024 01:02:43,29.30,0.00
179,07/27/2024 01:22:43,29.30,0.00
180,07/27/2024 01:42:43,29.30,0.00
181,07/27/2024 02:02:43,29.26,0.00
182,07/27/2024 02:22:43,29.30,0.00
183,07/27/2024 02:42:43,29.30,0.00
184,07/27/2024 03:02:43,29.26,0.00
185,07/27/2024 03:22:43,29.30,0.00
186,07/27/2024 03:42:43,29.30,0.00
187,07/27/2024 04:02:43,29.26,0.00
188,07/27/2024 04:22:43,29.26,0.00
189,07/27/2024 04:42:43,29.30,0.00
190,07/27/2024 05:02:43,29.30,0.00
191,07/27/2024 05:22:43,29.26,0.00
192,07/27/2024 05:42:43,29.26,0.00
193,07/27/2024 06:02:43,29.30,0.00
194,07/27/2024 06:22:43,29.86,1231.36
195,07/27/2024 06:42:43,29.73,1247.36
196,07/27/2024 07:02:43,29.60,1254.72
197,07/27/2024 07:22:43,29.64,1258.88
198,07/27/2024 07:42:43,29.64,1259.52
199,07/27/2024 08:02:43,29.64,1260.48
200,07/27/2024 08:22:43,24.49,1117.76
201,07/27/2024 08:42:43,22.48,1094.40
202,07/27/2024 09:02:43,22.65,1100.80
203,07/27/2024 09:22:43,22.73,1104.64
204,07/27/2024 09:42:43,22.56,1100.80
205,07/27/2024 10:02:43,22.65,1098.24
206,07/27/2024 10:22:43,22.73,1101.44
207,07/27/2024 10:42:43,22.65,1104.00
208,07/27/2024 11:02:43,22.65,1099.84
209,07/27/2024 11:22:43,22.73,1100.80
210,07/27/2024 11:42:43,22.73,1103.04
211,07/27/2024 12:02:43,22.69,1103.04
212,07/27/2024 12:22:43,22.56,1097.60
213,07/27/2024 12:42:43,22.73,1097.60
214,07/27/2024 13:02:43,22.73,1101.44
215,07/27/2024 13:22:43,22.65,1100.80
216,07/27/2024 13:42:43,22.61,1094.40
217,07/27/2024 14:02:43,22.73,1096.64
218,07/27/2024 14:22:43,22.73,1101.44
219,07/27/2024 14:42:43,22.61,1097.60
220,07/27/2024 15:02:43,22.65,1095.04
221,07/27/2024 15:22:43,22.78,1097.60
222,07/27/2024 15:42:43,22.73,1100.80
223,07/27/2024 16:02:43,22.61,1095.04
224,07/27/2024 16:22:43,22.73,1096.64
225,07/27/2024 16:42:43,22.78,1099.84
226,07/27/2024 17:02:43,22.69,1099.20
