"","treatment_name","mean_r","se_r","mean_K","se_K","count","mean_light","temp_var","temp","planned","temp_desc","temp_type","fluct_size","temp_rounded"
"1","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"mean_temp",13.7118137254902,"actual_daily","mean_temp","constant","constant",14
"2","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"max_temp",15.3258823529412,"actual_daily","max_temp","constant","constant",15
"3","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"min_temp",12.5658823529412,"actual_daily","min_temp","constant","constant",13
"4","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"sd_temp",0.837447580285796,"actual_daily","sd_temp","constant","constant",1
"5","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"temp_range",2.76,"actual_daily","temp_range","constant","constant",3
"6","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"mean_temp",13.733112745098,"actual_daily","mean_temp","constant","constant",14
"7","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"max_temp",14.1235294117647,"actual_daily","max_temp","constant","constant",14
"8","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"min_temp",13.2888235294118,"actual_daily","min_temp","constant","constant",13
"9","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"sd_temp",0.344540627877688,"actual_daily","sd_temp","constant","constant",0
"10","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"temp_range",0.83470588235294,"actual_daily","temp_range","constant","constant",1
"11","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"mean_temp",18.214910130719,"actual_daily","mean_temp","constant","constant",18
"12","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"max_temp",18.4317647058824,"actual_daily","max_temp","constant","constant",18
"13","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"min_temp",18.0611764705882,"actual_daily","min_temp","constant","constant",18
"14","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"sd_temp",0.0540181355018768,"actual_daily","sd_temp","constant","constant",0
"15","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"temp_range",0.370588235294118,"actual_daily","temp_range","constant","constant",0
"16","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"mean_temp",23.9443382352941,"actual_daily","mean_temp","constant","constant",24
