"","treatment_name","intercept","slope","intercept_se","slope_se","intercept_t_val","slope_t_val","intercept_p_value","slope_p_value"
"13","13",1.94795943576534,0.195045416147414,0.22311088936135,0.0196153285129123,8.73090256303189,9.94352024331483,0.000124879506396199,5.98205351553069e-05
"16.5","16.5",1.67429761030387,0.206699573582801,0.251542460772704,0.0221149582484595,6.65612320544475,9.34659569602394,0.000555839518719548,8.50339342815421e-05
"20","20",1.94866274244069,0.196819157672125,0.261920299771632,0.0230273508340514,7.43990727003493,8.54719064691894,0.0003036836650213,0.000140698678064973
"23.5","23.5",2.28369455870267,0.240160063206813,0.264893416173974,0.0232887394874963,8.62118278244716,10.3122826091878,0.000134063935532551,4.85914094991817e-05
"27","27",2.22475179981171,0.233640980031122,0.314871239307545,0.027682659577777,7.06559228687992,8.43997591252698,0.000402569053364522,0.000150997087404545
"30.5","30.5",1.61662236180706,0.248786073496781,0.30494126427395,0.0268096420259823,5.30142211371805,9.27972381189099,0.00182733280154913,8.85608244276242e-05
"34","34",2.13959751329607,0.185713969214124,0.149562919044858,0.0131491824483006,14.3056683231379,14.1236133838972,7.29962037897453e-06,7.86740381431198e-06
"VB23","VB23",1.79118029198187,0.207193464394605,0.236793530625347,0.0208182707094402,7.56431261973901,9.95248199460927,0.000277243867517867,5.95141795875774e-05
"VM20","VM20",2.27188923326652,0.188365814405747,0.226689816461126,0.0199299784656189,10.0220171718923,9.45138072932172,5.71978982705828e-05,7.98290336013017e-05
"VM23","VM23",2.23039889606357,0.196390611791561,0.235095990158182,0.0206690273711938,9.48718391395307,9.50168618312777,7.81358000345714e-05,7.746179878937e-05
"VM27","VM27",2.14775817889594,0.20838036708123,0.332716164985476,0.0292515389832738,6.45522642096363,7.12374029962605,0.000654963617333732,0.000385016570775034
"VS20","VS20",2.03323766871781,0.217842276486757,0.364300496372465,0.0320283511675195,5.58121026175876,6.8015451481522,0.00140497930176236,0.000494785743644485
"VS23","VS23",2.45438647937904,0.212661632284371,0.288107244803215,0.02532963886228,8.51900298812496,8.39576250733915,0.000143325414910197,0.000155495619698864
"VS27","VS27",2.18438532426156,0.219410287776793,0.279332833084002,0.0245582154285221,7.82000919886374,8.93429282007066,0.000230798801617094,0.000109709035694904
