temp,rep,date,exp_day,count,dilution
13,A,7/24/2024,0,7,none
13,B,7/24/2024,0,7,none
13,C,7/24/2024,0,NA,none
13,D,7/24/2024,0,NA,none
13,E,7/24/2024,0,NA,none
16.5,A,7/24/2024,0,3,none
16.5,B,7/24/2024,0,3,none
16.5,C,7/24/2024,0,NA,none
16.5,D,7/24/2024,0,NA,none
16.5,E,7/24/2024,0,NA,none
20,A,7/24/2024,0,3,none
20,B,7/24/2024,0,5,none
20,C,7/24/2024,0,NA,none
20,D,7/24/2024,0,NA,none
20,E,7/24/2024,0,NA,none
23.5,A,7/24/2024,0,5,none
23.5,B,7/24/2024,0,6,none
23.5,C,7/24/2024,0,NA,none
23.5,D,7/24/2024,0,NA,none
23.5,E,7/24/2024,0,NA,none
27,A,7/24/2024,0,1,none
27,B,7/24/2024,0,7,none
27,C,7/24/2024,0,NA,none
27,D,7/24/2024,0,NA,none
27,E,7/24/2024,0,NA,none
30.5,A,7/24/2024,0,2,none
30.5,B,7/24/2024,0,4,none
30.5,C,7/24/2024,0,NA,none
30.5,D,7/24/2024,0,NA,none
30.5,E,7/24/2024,0,NA,none
34,A,7/24/2024,0,3,none
34,B,7/24/2024,0,11,none
34,C,7/24/2024,0,NA,none
34,D,7/24/2024,0,NA,none
34,E,7/24/2024,0,NA,none
VB23,A,7/24/2024,0,1,none
VB23,B,7/24/2024,0,6,none
VB23,C,7/24/2024,0,NA,none
VB23,D,7/24/2024,0,NA,none
VB23,E,7/24/2024,0,NA,none
VM20,A,7/24/2024,0,5,none
VM20,B,7/24/2024,0,7,none
VM20,C,7/24/2024,0,NA,none
VM20,D,7/24/2024,0,NA,none
VM20,E,7/24/2024,0,NA,none
VM23,A,7/24/2024,0,9,none
VM23,B,7/24/2024,0,3,none
VM23,C,7/24/2024,0,NA,none
VM23,D,7/24/2024,0,NA,none
VM23,E,7/24/2024,0,NA,none
VM27,A,7/24/2024,0,2,none
VM27,B,7/24/2024,0,5,none
VM27,C,7/24/2024,0,NA,none
VM27,D,7/24/2024,0,NA,none
VM27,E,7/24/2024,0,NA,none
VS20,A,7/24/2024,0,3,none
VS20,B,7/24/2024,0,3,none
VS20,C,7/24/2024,0,NA,none
VS20,D,7/24/2024,0,NA,none
VS20,E,7/24/2024,0,NA,none
VS23,A,7/24/2024,0,3,none
VS23,B,7/24/2024,0,8,none
VS23,C,7/24/2024,0,NA,none
VS23,D,7/24/2024,0,NA,none
VS23,E,7/24/2024,0,NA,none
VS27,A,7/24/2024,0,4,none
VS27,B,7/24/2024,0,4,none
VS27,C,7/24/2024,0,NA,none
VS27,D,7/24/2024,0,NA,none
VS27,E,7/24/2024,0,NA,none
13,A,7/26/2024,2,11,none
13,B,7/26/2024,2,9,none
13,C,7/26/2024,2,2,none
13,D,7/26/2024,2,5,none
13,E,7/26/2024,2,5,none
16.5,A,7/26/2024,2,9,none
16.5,B,7/26/2024,2,9,none
16.5,C,7/26/2024,2,8,none
16.5,D,7/26/2024,2,7,none
16.5,E,7/26/2024,2,4,none
20,A,7/26/2024,2,10,none
20,B,7/26/2024,2,6,none
20,C,7/26/2024,2,11,none
20,D,7/26/2024,2,8,none
